funcid,dim,milestone,error
9,10,1,1.152778e+03
9,10,2,1.152778e+03
9,10,3,1.152778e+03
9,10,5,1.152778e+03
9,10,10,1.152778e+03
9,10,20,1.152778e+03
9,10,30,1.152778e+03
9,10,40,1.152778e+03
9,10,50,1.152778e+03
9,10,60,1.152778e+03
9,10,70,1.152778e+03
9,10,80,1.152778e+03
9,10,90,1.152778e+03
9,10,100,1.152778e+03
9,10,1,3.183091e+02
9,10,2,1.628619e+02
9,10,3,1.620325e+02
9,10,5,1.225130e+02
9,10,10,1.085240e+02
9,10,20,1.064486e+02
9,10,30,1.064486e+02
9,10,40,1.025357e+02
9,10,50,1.025357e+02
9,10,60,1.025357e+02
9,10,70,1.025357e+02
9,10,80,1.025357e+02
9,10,90,1.006587e+02
9,10,100,1.006587e+02
