funcid,dim,milestone,error
23,10,1,5.291327e+02
23,10,2,5.291327e+02
23,10,3,5.291327e+02
23,10,5,5.291327e+02
23,10,10,5.291327e+02
23,10,20,5.291327e+02
23,10,30,5.291327e+02
23,10,40,5.291327e+02
23,10,50,5.291327e+02
23,10,60,5.291327e+02
23,10,70,5.291327e+02
23,10,80,5.291327e+02
23,10,90,5.291327e+02
23,10,100,5.291327e+02
23,10,1,3.906294e+02
23,10,2,3.792264e+02
23,10,3,3.792264e+02
23,10,5,3.792264e+02
23,10,10,3.792264e+02
23,10,20,3.792264e+02
23,10,30,3.792264e+02
23,10,40,3.792264e+02
23,10,50,3.792264e+02
23,10,60,3.792264e+02
23,10,70,3.792264e+02
23,10,80,3.792264e+02
23,10,90,3.792264e+02
23,10,100,3.792264e+02
