funcid,dim,milestone,error
16,10,1,9.298229e+02
16,10,2,9.298229e+02
16,10,3,9.298229e+02
16,10,5,9.298229e+02
16,10,10,9.298229e+02
16,10,20,9.298229e+02
16,10,30,9.298229e+02
16,10,40,9.298229e+02
16,10,50,9.298229e+02
16,10,60,9.298229e+02
16,10,70,9.298229e+02
16,10,80,9.298229e+02
16,10,90,9.298229e+02
16,10,100,9.298229e+02
16,10,1,2.896614e+02
16,10,2,2.896614e+02
16,10,3,2.896614e+02
16,10,5,2.896614e+02
16,10,10,2.896614e+02
16,10,20,2.496743e+02
16,10,30,2.496743e+02
16,10,40,2.496743e+02
16,10,50,2.496743e+02
16,10,60,2.496743e+02
16,10,70,2.496743e+02
16,10,80,2.496743e+02
16,10,90,2.496743e+02
16,10,100,2.496743e+02
