funcid,dim,milestone,error
19,10,1,3.276139e+07
19,10,2,3.276139e+07
19,10,3,3.276139e+07
19,10,5,3.276139e+07
19,10,10,3.276139e+07
19,10,20,3.276139e+07
19,10,30,3.276139e+07
19,10,40,3.276139e+07
19,10,50,3.276139e+07
19,10,60,3.276139e+07
19,10,70,3.276139e+07
19,10,80,3.276139e+07
19,10,90,3.276139e+07
19,10,100,3.276139e+07
19,10,1,3.012519e+04
19,10,2,2.805213e+04
19,10,3,2.805213e+04
19,10,5,2.805213e+04
19,10,10,2.805213e+04
19,10,20,2.805213e+04
19,10,30,2.805213e+04
19,10,40,2.805213e+04
19,10,50,2.805213e+04
19,10,60,2.805213e+04
19,10,70,2.805213e+04
19,10,80,2.805213e+04
19,10,90,2.805213e+04
19,10,100,2.805213e+04
