funcid,dim,milestone,error
25,10,1,8.104615e+02
25,10,2,8.104615e+02
25,10,3,8.104615e+02
25,10,5,8.104615e+02
25,10,10,8.104615e+02
25,10,20,8.104615e+02
25,10,30,8.104615e+02
25,10,40,8.104615e+02
25,10,50,8.104615e+02
25,10,60,8.104615e+02
25,10,70,8.104615e+02
25,10,80,8.104615e+02
25,10,90,8.104615e+02
25,10,100,8.104615e+02
25,10,1,5.606945e+02
25,10,2,4.840349e+02
25,10,3,4.665923e+02
25,10,5,4.665923e+02
25,10,10,4.665923e+02
25,10,20,4.472528e+02
25,10,30,4.472528e+02
25,10,40,4.472528e+02
25,10,50,4.472528e+02
25,10,60,4.472528e+02
25,10,70,4.472528e+02
25,10,80,4.472528e+02
25,10,90,4.472528e+02
25,10,100,4.472528e+02
