funcid,dim,milestone,error
17,10,1,4.161269e+02
17,10,2,4.161269e+02
17,10,3,4.161269e+02
17,10,5,4.161269e+02
17,10,10,4.161269e+02
17,10,20,4.161269e+02
17,10,30,4.161269e+02
17,10,40,4.161269e+02
17,10,50,4.161269e+02
17,10,60,4.161269e+02
17,10,70,4.161269e+02
17,10,80,4.161269e+02
17,10,90,4.161269e+02
17,10,100,4.161269e+02
17,10,1,1.163619e+02
17,10,2,9.671012e+01
17,10,3,9.121579e+01
17,10,5,9.121579e+01
17,10,10,8.011133e+01
17,10,20,8.011133e+01
17,10,30,8.011133e+01
17,10,40,8.011133e+01
17,10,50,8.011133e+01
17,10,60,8.011133e+01
17,10,70,8.011133e+01
17,10,80,8.011133e+01
17,10,90,8.011133e+01
17,10,100,8.011133e+01
