funcid,dim,milestone,error
4,10,1,1.238020e+03
4,10,2,1.238020e+03
4,10,3,1.238020e+03
4,10,5,1.238020e+03
4,10,10,1.238020e+03
4,10,20,1.238020e+03
4,10,30,1.238020e+03
4,10,40,1.238020e+03
4,10,50,1.238020e+03
4,10,60,1.238020e+03
4,10,70,1.238020e+03
4,10,80,1.238020e+03
4,10,90,1.238020e+03
4,10,100,1.238020e+03
4,10,1,1.390699e+02
4,10,2,1.000161e+02
4,10,3,7.990787e+01
4,10,5,4.585557e+01
4,10,10,4.585557e+01
4,10,20,4.585557e+01
4,10,30,4.585557e+01
4,10,40,4.585557e+01
4,10,50,4.585557e+01
4,10,60,4.585557e+01
4,10,70,4.585557e+01
4,10,80,4.585557e+01
4,10,90,4.585557e+01
4,10,100,4.585557e+01
