funcid,dim,milestone,error
13,10,1,1.262706e+08
13,10,2,1.262706e+08
13,10,3,1.262706e+08
13,10,5,1.262706e+08
13,10,10,1.262706e+08
13,10,20,1.262706e+08
13,10,30,1.262706e+08
13,10,40,1.262706e+08
13,10,50,1.262706e+08
13,10,60,1.262706e+08
13,10,70,1.262706e+08
13,10,80,1.262706e+08
13,10,90,1.262706e+08
13,10,100,1.262706e+08
13,10,1,5.130477e+05
13,10,2,1.550908e+05
13,10,3,1.550908e+05
13,10,5,4.583645e+04
13,10,10,4.583645e+04
13,10,20,1.967407e+04
13,10,30,1.709102e+04
13,10,40,8.307276e+03
13,10,50,8.307276e+03
13,10,60,8.307276e+03
13,10,70,8.130498e+03
13,10,80,8.130498e+03
13,10,90,8.065010e+03
13,10,100,7.544987e+03
