funcid,dim,milestone,error
20,10,1,7.556158e+02
20,10,2,7.556158e+02
20,10,3,7.556158e+02
20,10,5,7.556158e+02
20,10,10,7.556158e+02
20,10,20,7.556158e+02
20,10,30,7.556158e+02
20,10,40,7.556158e+02
20,10,50,7.556158e+02
20,10,60,7.556158e+02
20,10,70,7.556158e+02
20,10,80,7.556158e+02
20,10,90,7.556158e+02
20,10,100,7.556158e+02
20,10,1,1.719806e+02
20,10,2,1.719806e+02
20,10,3,1.505610e+02
20,10,5,9.488315e+01
20,10,10,9.488315e+01
20,10,20,9.488315e+01
20,10,30,9.488315e+01
20,10,40,9.488315e+01
20,10,50,9.488315e+01
20,10,60,9.488315e+01
20,10,70,9.488315e+01
20,10,80,9.488315e+01
20,10,90,9.488315e+01
20,10,100,9.488315e+01
