funcid,dim,milestone,error
12,10,1,1.940044e+09
12,10,2,1.940044e+09
12,10,3,1.940044e+09
12,10,5,1.940044e+09
12,10,10,1.940044e+09
12,10,20,1.940044e+09
12,10,30,1.940044e+09
12,10,40,1.940044e+09
12,10,50,1.940044e+09
12,10,60,1.940044e+09
12,10,70,1.940044e+09
12,10,80,1.940044e+09
12,10,90,1.940044e+09
12,10,100,1.940044e+09
12,10,1,1.159375e+08
12,10,2,3.914179e+07
12,10,3,2.120590e+07
12,10,5,2.120590e+07
12,10,10,2.120590e+07
12,10,20,9.842822e+06
12,10,30,8.010157e+06
12,10,40,7.685507e+06
12,10,50,7.685507e+06
12,10,60,7.647561e+06
12,10,70,7.558969e+06
12,10,80,7.517530e+06
12,10,90,7.442388e+06
12,10,100,7.409420e+06
