funcid,dim,milestone,error
6,10,1,7.346981e+01
6,10,2,7.346981e+01
6,10,3,7.346981e+01
6,10,5,7.346981e+01
6,10,10,7.346981e+01
6,10,20,7.346981e+01
6,10,30,7.346981e+01
6,10,40,7.346981e+01
6,10,50,7.346981e+01
6,10,60,7.346981e+01
6,10,70,7.346981e+01
6,10,80,7.346981e+01
6,10,90,7.346981e+01
6,10,100,7.346981e+01
6,10,1,3.779924e+01
6,10,2,3.779924e+01
6,10,3,2.726144e+01
6,10,5,2.248641e+01
6,10,10,1.942050e+01
6,10,20,1.942050e+01
6,10,30,1.942050e+01
6,10,40,1.942050e+01
6,10,50,1.942050e+01
6,10,60,1.942050e+01
6,10,70,1.942050e+01
6,10,80,1.942050e+01
6,10,90,1.942050e+01
6,10,100,1.942050e+01
