funcid,dim,milestone,error
22,10,1,1.111097e+03
22,10,2,1.111097e+03
22,10,3,1.111097e+03
22,10,5,1.111097e+03
22,10,10,1.111097e+03
22,10,20,1.111097e+03
22,10,30,1.111097e+03
22,10,40,1.111097e+03
22,10,50,1.111097e+03
22,10,60,1.111097e+03
22,10,70,1.111097e+03
22,10,80,1.111097e+03
22,10,90,1.111097e+03
22,10,100,1.111097e+03
22,10,1,2.423964e+02
22,10,2,1.801075e+02
22,10,3,1.801075e+02
22,10,5,1.777885e+02
22,10,10,1.720260e+02
22,10,20,1.586699e+02
22,10,30,1.494673e+02
22,10,40,1.446356e+02
22,10,50,1.446356e+02
22,10,60,1.431743e+02
22,10,70,1.411352e+02
22,10,80,1.408517e+02
22,10,90,1.391239e+02
22,10,100,1.312344e+02
