funcid,dim,milestone,error
11,10,1,8.538409e+03
11,10,2,8.538409e+03
11,10,3,8.538409e+03
11,10,5,8.538409e+03
11,10,10,8.538409e+03
11,10,20,8.538409e+03
11,10,30,8.538409e+03
11,10,40,8.538409e+03
11,10,50,8.538409e+03
11,10,60,8.538409e+03
11,10,70,8.538409e+03
11,10,80,8.538409e+03
11,10,90,8.538409e+03
11,10,100,8.538409e+03
11,10,1,2.080009e+02
11,10,2,2.080009e+02
11,10,3,2.080009e+02
11,10,5,2.080009e+02
11,10,10,1.844968e+02
11,10,20,1.251297e+02
11,10,30,1.106946e+02
11,10,40,1.106946e+02
11,10,50,1.106946e+02
11,10,60,1.106946e+02
11,10,70,1.106946e+02
11,10,80,1.106946e+02
11,10,90,1.106946e+02
11,10,100,1.106946e+02
