funcid,dim,milestone,error
27,10,1,5.000023e+02
27,10,2,5.000023e+02
27,10,3,5.000023e+02
27,10,5,5.000023e+02
27,10,10,5.000023e+02
27,10,20,5.000023e+02
27,10,30,5.000023e+02
27,10,40,5.000023e+02
27,10,50,5.000023e+02
27,10,60,5.000023e+02
27,10,70,5.000023e+02
27,10,80,5.000023e+02
27,10,90,5.000023e+02
27,10,100,5.000023e+02
27,10,1,4.074680e+02
27,10,2,4.064936e+02
27,10,3,4.043620e+02
27,10,5,4.011486e+02
27,10,10,4.005848e+02
27,10,20,3.998535e+02
27,10,30,3.996607e+02
27,10,40,3.996607e+02
27,10,50,3.995461e+02
27,10,60,3.991296e+02
27,10,70,3.989052e+02
27,10,80,3.987564e+02
27,10,90,3.987564e+02
27,10,100,3.987564e+02
