funcid,dim,milestone,error
2,10,1,4.830406e+12
2,10,2,4.830406e+12
2,10,3,4.830406e+12
2,10,5,4.830406e+12
2,10,10,4.830406e+12
2,10,20,4.830406e+12
2,10,30,4.830406e+12
2,10,40,4.830406e+12
2,10,50,4.830406e+12
2,10,60,4.830406e+12
2,10,70,4.830406e+12
2,10,80,4.830406e+12
2,10,90,4.830406e+12
2,10,100,4.830406e+12
2,10,1,7.090148e+08
2,10,2,3.009110e+08
2,10,3,3.009110e+08
2,10,5,3.009110e+08
2,10,10,3.009110e+08
2,10,20,3.009110e+08
2,10,30,3.009110e+08
2,10,40,3.009110e+08
2,10,50,3.009110e+08
2,10,60,3.009110e+08
2,10,70,3.009110e+08
2,10,80,3.009110e+08
2,10,90,3.009110e+08
2,10,100,3.009110e+08
