funcid,dim,milestone,error
24,10,1,6.482125e+02
24,10,2,6.482125e+02
24,10,3,6.482125e+02
24,10,5,6.482125e+02
24,10,10,6.482125e+02
24,10,20,6.482125e+02
24,10,30,6.482125e+02
24,10,40,6.482125e+02
24,10,50,6.482125e+02
24,10,60,6.482125e+02
24,10,70,6.482125e+02
24,10,80,6.482125e+02
24,10,90,6.482125e+02
24,10,100,6.482125e+02
24,10,1,4.119347e+02
24,10,2,4.040790e+02
24,10,3,4.040790e+02
24,10,5,4.013248e+02
24,10,10,4.013248e+02
24,10,20,4.013248e+02
24,10,30,4.013248e+02
24,10,40,4.013248e+02
24,10,50,4.013248e+02
24,10,60,4.013248e+02
24,10,70,4.013248e+02
24,10,80,4.013248e+02
24,10,90,4.013248e+02
24,10,100,4.013248e+02
