funcid,dim,milestone,error
3,10,1,1.799936e+04
3,10,2,1.799936e+04
3,10,3,1.799936e+04
3,10,5,1.799936e+04
3,10,10,1.799936e+04
3,10,20,1.799936e+04
3,10,30,1.799936e+04
3,10,40,1.799936e+04
3,10,50,1.799936e+04
3,10,60,1.799936e+04
3,10,70,1.799936e+04
3,10,80,1.799936e+04
3,10,90,1.799936e+04
3,10,100,1.799936e+04
3,10,1,5.284342e+04
3,10,2,4.278099e+04
3,10,3,4.278099e+04
3,10,5,4.278099e+04
3,10,10,1.594626e+04
3,10,20,1.162373e+04
3,10,30,1.162373e+04
3,10,40,1.162373e+04
3,10,50,1.162373e+04
3,10,60,1.162373e+04
3,10,70,1.162373e+04
3,10,80,1.162373e+04
3,10,90,1.162373e+04
3,10,100,1.162373e+04
