funcid,dim,milestone,error
29,10,1,1.154582e+03
29,10,2,1.154582e+03
29,10,3,1.154582e+03
29,10,5,1.154582e+03
29,10,10,1.154582e+03
29,10,20,1.154582e+03
29,10,30,1.154582e+03
29,10,40,1.154582e+03
29,10,50,1.154582e+03
29,10,60,1.154582e+03
29,10,70,1.154582e+03
29,10,80,1.154582e+03
29,10,90,1.154582e+03
29,10,100,1.154582e+03
29,10,1,3.591127e+02
29,10,2,3.591127e+02
29,10,3,3.591127e+02
29,10,5,3.591127e+02
29,10,10,3.591127e+02
29,10,20,3.316414e+02
29,10,30,3.316414e+02
29,10,40,3.076440e+02
29,10,50,2.987172e+02
29,10,60,2.987172e+02
29,10,70,2.987172e+02
29,10,80,2.987172e+02
29,10,90,2.987172e+02
29,10,100,2.987172e+02
