funcid,dim,milestone,error
28,10,1,5.000025e+02
28,10,2,5.000025e+02
28,10,3,5.000025e+02
28,10,5,5.000025e+02
28,10,10,5.000025e+02
28,10,20,5.000025e+02
28,10,30,5.000025e+02
28,10,40,5.000025e+02
28,10,50,5.000025e+02
28,10,60,5.000025e+02
28,10,70,5.000025e+02
28,10,80,5.000025e+02
28,10,90,5.000025e+02
28,10,100,5.000025e+02
28,10,1,4.959335e+02
28,10,2,4.817200e+02
28,10,3,4.761228e+02
28,10,5,4.757360e+02
28,10,10,4.748898e+02
28,10,20,4.748898e+02
28,10,30,4.748224e+02
28,10,40,4.748224e+02
28,10,50,4.748224e+02
28,10,60,4.747980e+02
28,10,70,4.747980e+02
28,10,80,4.747859e+02
28,10,90,4.747615e+02
28,10,100,4.747584e+02
