funcid,dim,milestone,error
7,10,1,1.712999e+02
7,10,2,1.712999e+02
7,10,3,1.712999e+02
7,10,5,1.712999e+02
7,10,10,1.712999e+02
7,10,20,1.712999e+02
7,10,30,1.712999e+02
7,10,40,1.712999e+02
7,10,50,1.712999e+02
7,10,60,1.712999e+02
7,10,70,1.712999e+02
7,10,80,1.712999e+02
7,10,90,1.712999e+02
7,10,100,1.712999e+02
7,10,1,1.004316e+02
7,10,2,1.004316e+02
7,10,3,9.200035e+01
7,10,5,8.124880e+01
7,10,10,7.287147e+01
7,10,20,6.987047e+01
7,10,30,6.987047e+01
7,10,40,6.987047e+01
7,10,50,6.987047e+01
7,10,60,6.987047e+01
7,10,70,6.987047e+01
7,10,80,6.987047e+01
7,10,90,6.987047e+01
7,10,100,6.987047e+01
