funcid,dim,milestone,error
15,10,1,2.138998e+04
15,10,2,2.138998e+04
15,10,3,2.138998e+04
15,10,5,2.138998e+04
15,10,10,2.138998e+04
15,10,20,2.138998e+04
15,10,30,2.138998e+04
15,10,40,2.138998e+04
15,10,50,2.138998e+04
15,10,60,2.138998e+04
15,10,70,2.138998e+04
15,10,80,2.138998e+04
15,10,90,2.138998e+04
15,10,100,2.138998e+04
15,10,1,2.420387e+03
15,10,2,2.420387e+03
15,10,3,2.420387e+03
15,10,5,2.420387e+03
15,10,10,2.420387e+03
15,10,20,2.420387e+03
15,10,30,2.420387e+03
15,10,40,2.420387e+03
15,10,50,2.420387e+03
15,10,60,2.420387e+03
15,10,70,2.420387e+03
15,10,80,2.420387e+03
15,10,90,2.420387e+03
15,10,100,2.420387e+03
