funcid,dim,milestone,error
18,10,1,4.222569e+09
18,10,2,4.222569e+09
18,10,3,4.222569e+09
18,10,5,4.222569e+09
18,10,10,4.222569e+09
18,10,20,4.222569e+09
18,10,30,4.222569e+09
18,10,40,4.222569e+09
18,10,50,4.222569e+09
18,10,60,4.222569e+09
18,10,70,4.222569e+09
18,10,80,4.222569e+09
18,10,90,4.222569e+09
18,10,100,4.222569e+09
18,10,1,2.110347e+07
18,10,2,4.426808e+05
18,10,3,4.426808e+05
18,10,5,4.426808e+05
18,10,10,4.426808e+05
18,10,20,3.021562e+05
18,10,30,1.191385e+05
18,10,40,1.191385e+05
18,10,50,1.068143e+05
18,10,60,1.068143e+05
18,10,70,1.005691e+05
18,10,80,8.603122e+04
18,10,90,8.603122e+04
18,10,100,8.595694e+04
