funcid,dim,milestone,error
14,10,1,5.211621e+05
14,10,2,5.211621e+05
14,10,3,5.211621e+05
14,10,5,5.211621e+05
14,10,10,5.211621e+05
14,10,20,5.211621e+05
14,10,30,5.211621e+05
14,10,40,5.211621e+05
14,10,50,5.211621e+05
14,10,60,5.211621e+05
14,10,70,5.211621e+05
14,10,80,5.211621e+05
14,10,90,5.211621e+05
14,10,100,5.211621e+05
14,10,1,8.903810e+03
14,10,2,8.903810e+03
14,10,3,8.903810e+03
14,10,5,7.511639e+03
14,10,10,4.882309e+03
14,10,20,3.792631e+03
14,10,30,3.792631e+03
14,10,40,3.759938e+03
14,10,50,3.757528e+03
14,10,60,3.757518e+03
14,10,70,3.757518e+03
14,10,80,3.757518e+03
14,10,90,3.757518e+03
14,10,100,3.757494e+03
