funcid,dim,milestone,error
5,10,1,1.677248e+02
5,10,2,1.673986e+02
5,10,3,1.673986e+02
5,10,5,1.673986e+02
5,10,10,1.673986e+02
5,10,20,1.673986e+02
5,10,30,1.673986e+02
5,10,40,1.673986e+02
5,10,50,1.673986e+02
5,10,60,1.673986e+02
5,10,70,1.673986e+02
5,10,80,1.673986e+02
5,10,90,1.673986e+02
5,10,100,1.673986e+02
5,10,1,8.675757e+01
5,10,2,7.216873e+01
5,10,3,7.216873e+01
5,10,5,6.343895e+01
5,10,10,5.640757e+01
5,10,20,5.640757e+01
5,10,30,5.640757e+01
5,10,40,5.640757e+01
5,10,50,5.640757e+01
5,10,60,5.640757e+01
5,10,70,5.640757e+01
5,10,80,5.640757e+01
5,10,90,5.640757e+01
5,10,100,5.640757e+01
