funcid,dim,milestone,error
8,10,1,7.790195e+01
8,10,2,7.790195e+01
8,10,3,7.790195e+01
8,10,5,7.790195e+01
8,10,10,7.790195e+01
8,10,20,7.790195e+01
8,10,30,7.790195e+01
8,10,40,7.790195e+01
8,10,50,7.790195e+01
8,10,60,7.790195e+01
8,10,70,7.790195e+01
8,10,80,7.790195e+01
8,10,90,7.790195e+01
8,10,100,7.790195e+01
8,10,1,6.531167e+01
8,10,2,4.712671e+01
8,10,3,4.712671e+01
8,10,5,4.712671e+01
8,10,10,3.027688e+01
8,10,20,2.396020e+01
8,10,30,2.396020e+01
8,10,40,2.396020e+01
8,10,50,2.396020e+01
8,10,60,2.396020e+01
8,10,70,2.396020e+01
8,10,80,2.396020e+01
8,10,90,2.396020e+01
8,10,100,2.396020e+01
