funcid,dim,milestone,error
21,10,1,3.936022e+02
21,10,2,3.936022e+02
21,10,3,3.936022e+02
21,10,5,3.936022e+02
21,10,10,3.936022e+02
21,10,20,3.936022e+02
21,10,30,3.936022e+02
21,10,40,3.936022e+02
21,10,50,3.936022e+02
21,10,60,3.936022e+02
21,10,70,3.936022e+02
21,10,80,3.936022e+02
21,10,90,3.936022e+02
21,10,100,3.936022e+02
21,10,1,2.621564e+02
21,10,2,2.557918e+02
21,10,3,2.557918e+02
21,10,5,2.557918e+02
21,10,10,2.557918e+02
21,10,20,2.557918e+02
21,10,30,2.557918e+02
21,10,40,2.557918e+02
21,10,50,2.557918e+02
21,10,60,2.557918e+02
21,10,70,2.557918e+02
21,10,80,2.557918e+02
21,10,90,2.557918e+02
21,10,100,2.557918e+02
