funcid,dim,milestone,error
10,10,1,2.878615e+03
10,10,2,2.878615e+03
10,10,3,2.878615e+03
10,10,5,2.878615e+03
10,10,10,2.878615e+03
10,10,20,2.878615e+03
10,10,30,2.878615e+03
10,10,40,2.878615e+03
10,10,50,2.878615e+03
10,10,60,2.878615e+03
10,10,70,2.878615e+03
10,10,80,2.878615e+03
10,10,90,2.878615e+03
10,10,100,2.878615e+03
10,10,1,2.506948e+03
10,10,2,2.131262e+03
10,10,3,2.131262e+03
10,10,5,1.842358e+03
10,10,10,1.656897e+03
10,10,20,1.330564e+03
10,10,30,1.232037e+03
10,10,40,1.226890e+03
10,10,50,1.211210e+03
10,10,60,1.211210e+03
10,10,70,1.204197e+03
10,10,80,1.202709e+03
10,10,90,1.201587e+03
10,10,100,1.201516e+03
