funcid,dim,milestone,error
30,10,1,4.581096e+07
30,10,2,4.581096e+07
30,10,3,4.581096e+07
30,10,5,4.581096e+07
30,10,10,4.581096e+07
30,10,20,4.581096e+07
30,10,30,4.581096e+07
30,10,40,4.581096e+07
30,10,50,4.581096e+07
30,10,60,4.581096e+07
30,10,70,4.581096e+07
30,10,80,4.581096e+07
30,10,90,4.581096e+07
30,10,100,4.581096e+07
30,10,1,4.270575e+04
30,10,2,4.270575e+04
30,10,3,4.280592e+03
30,10,5,4.280592e+03
30,10,10,4.280592e+03
30,10,20,4.179131e+03
30,10,30,4.179131e+03
30,10,40,4.179131e+03
30,10,50,4.179131e+03
30,10,60,4.179131e+03
30,10,70,4.179131e+03
30,10,80,4.179131e+03
30,10,90,4.179131e+03
30,10,100,4.179131e+03
