funcid,dim,milestone,error
1,10,1,2.048591e+10
1,10,2,2.048591e+10
1,10,3,2.048591e+10
1,10,5,2.048591e+10
1,10,10,2.048591e+10
1,10,20,2.048591e+10
1,10,30,2.048591e+10
1,10,40,2.048591e+10
1,10,50,2.048591e+10
1,10,60,2.048591e+10
1,10,70,2.048591e+10
1,10,80,2.048591e+10
1,10,90,2.048591e+10
1,10,100,2.048591e+10
1,10,1,1.398616e+10
1,10,2,1.398616e+10
1,10,3,1.398616e+10
1,10,5,1.398616e+10
1,10,10,1.398616e+10
1,10,20,1.398616e+10
1,10,1,2.063777e+10
1,10,2,2.063777e+10
1,10,3,2.063777e+10
1,10,5,2.063777e+10
1,10,10,2.063777e+10
1,10,20,2.063777e+10
1,10,30,2.063777e+10
1,10,40,2.063777e+10
1,10,50,2.063777e+10
1,10,60,2.063777e+10
1,10,70,2.063777e+10
1,10,80,2.063777e+10
1,10,1,1.521493e+10
1,10,2,1.521493e+10
1,10,3,1.521493e+10
1,10,5,1.521493e+10
1,10,10,1.521493e+10
1,10,1,1.996656e+09
1,10,2,1.996656e+09
1,10,3,1.996656e+09
1,10,5,1.996656e+09
1,10,10,1.202143e+09
1,10,20,1.067394e+09
1,10,1,1.946859e+09
1,10,2,1.946859e+09
1,10,3,1.946859e+09
1,10,5,1.946859e+09
1,10,10,1.946859e+09
1,10,1,1.047626e+09
1,10,2,1.047626e+09
1,10,3,9.902523e+08
1,10,5,9.902523e+08
1,10,10,7.659206e+08
1,10,20,7.659206e+08
1,10,30,7.659206e+08
1,10,40,7.659206e+08
1,10,50,7.659206e+08
1,10,60,7.659206e+08
1,10,70,7.659206e+08
1,10,80,7.659206e+08
1,10,90,7.659206e+08
1,10,100,7.659206e+08
